id,standard_smiles,cluster,syba_score
compound_2161,NC(=O)c1c(NC(=O)Cc2ccc(F)cc2)sc2c1CCCC2,1500,149.3855238793166
compound_2800,Cc1ccc(CNC(=O)c2ccc(NC(=O)CC#N)cc2)cc1,1499,163.27337618804418
compound_0783,CC(C)(C)n1ncc2c(=O)n(CC(=O)NCc3ccccc3)cnc21,1498,147.78583425048825
compound_2074,CCN(CC)C(=O)COc1ccc2c(C)cc(=O)oc2c1,55,139.14195678120433
compound_0688,Cc1cccc(NC(=O)c2ccc(C(=O)Nc3cccc(C)c3)nc2)c1,1497,125.45778693839775
compound_0779,O=C(Cn1nnc2ccccc2c1=O)NC1CCCCC1,175,120.53618855773375
compound_2844,CC(=O)c1ccc(NC(=O)C(C)(C(F)(F)F)C(F)(F)F)cc1,1496,74.9577360413192
compound_1583,COc1ccc(-c2cnc(NC(=O)c3ccc(F)cc3)n2C)cc1,1495,117.29502471469418
compound_0698,CC(C)(CO)NC(=O)c1cc(-c2ccc(Cl)cc2Cl)on1,1494,93.11930512184063
compound_2523,COC(=O)CNC(=O)c1cn(-c2ccccc2)nc1-c1ccc(C)cc1,1493,146.2769614061856
compound_1253,COc1ccc(CNc2ccc3c(c2)CCC3)cc1OC,1492,144.28612956052376
compound_0934,CCc1ccc(CN(C)C(=O)c2ccc3c(c2)OCO3)cc1,1491,146.14279429558624
compound_1404,COc1cc(C2Nc3ccccc3O2)cc(OC)c1OC,1490,43.46743423443701
compound_1222,Cc1ccc(S(=O)(=O)Nc2cccc(C)c2C)cc1C(N)=O,1489,128.29178967328383
compound_0647,NC(=O)CN(C1CCCCC1)S(=O)(=O)c1ccc(F)cc1,1488,95.18453512209567
compound_0560,COc1ccc(OC)c(NC(=O)COc2ccccc2C#N)c1,1487,161.358528792787
compound_0747,Nc1c(C(=O)Nc2cccc(Cl)c2)nnn1Cc1cccc(F)c1,1486,151.77902501376764
compound_2813,COc1ccccc1CNC(=O)Cn1c(=O)cnc2ccccc21,1485,156.86215890602634
compound_0165,Cc1nnc(SCC(=O)Nc2ccc3c(c2)OCCO3)s1,228,145.38371125346006
compound_1743,CCOC(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,1484,137.99735671812311
compound_1259,O=C(COC(=O)Cc1n[nH]c(=O)c2ccccc12)NCC1CCCO1,1483,132.7287281044851
compound_0914,CC(=O)N(Cc1cc2ccccc2[nH]c1=O)c1ccccc1C,1482,118.68389415417096
compound_0210,Cc1ccc2nc(SCC(=O)N3CCC(C)CC3)nc(=O)n2c1,1481,116.92141469966741
compound_2795,Nc1ncnc(N)c1NC(=O)CCCCc1ccccc1,1480,104.06622977298379
compound_1294,Cc1ccccc1NC(=O)CSc1nnc(-c2cccs2)n1N,1479,173.61562459711573
compound_0706,O=C(CSc1nnnn1-c1ccc(Cl)cc1)N1CCCCC1,12,147.36763913262982
compound_0225,Cn1cc(CNS(=O)(=O)c2ccc3ccccc3c2)cn1,1478,130.20583312913882
compound_1565,Cc1cccc(C(=O)NCCc2cc3ccc(C)cc3[nH]c2=O)c1,1477,156.34038875986235
compound_0857,COc1ccc(C(=O)CC2(O)C(=O)Nc3ccc(F)cc32)cc1,216,92.9545514778629
compound_2048,COC(=O)c1ccn(CC(=O)NCc2ccc(F)cc2)n1,1476,121.971261077386
compound_2619,CCOc1ccccc1C(=O)OCn1nnc2ccccc2c1=O,1475,119.32350574105999
compound_0321,CC(C)C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)OCO3)c1,14,157.2989572899692
compound_1342,CCN(CC)C(=O)c1cn(-c2ccccc2)nc1-c1ccc(OC)cc1,1474,120.63466644599565
compound_0830,CC(C)(C)C(=O)N1CCN(c2ccc(N3CCCCC3)nn2)CC1,1473,98.83787421747886
compound_2644,Cc1cc(N2CCN(c3ccccc3)CC2)n2ncnc2n1,1472,110.63162445044215
compound_0194,COc1ccc(OC)c(NC(=O)CSc2nc3ccccc3[nH]2)c1,65,186.6607518756195
compound_2953,O=C(NCCc1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1,1471,119.33509585416297
compound_1435,O=C(NC1CCCC1)C1CCCN(S(=O)(=O)N2CCCC2)C1,1470,109.78713670631349
compound_2359,CC(=O)Nc1ccc(NC(=O)c2ccccc2F)nc1,1469,104.93421031357795
compound_0514,Cc1occc1C(=O)Nc1cc(C)n(Cc2ccc(Cl)cc2)n1,1468,123.52839671256287
compound_0858,COc1ccc(CC(=O)NCCc2csc(C)n2)cc1,1467,158.63090346171785
compound_1465,Cc1cc(NC(=O)CCn2c(=O)sc3ccccc32)no1,1466,126.89293693782032
compound_2224,COC(=O)NCC12CC3CC(C1)CC(CNC(=O)OC)(C3)C2,1465,21.580705997612554
compound_0486,Cc1cc(NC(=O)CSc2ncn(-c3ccccc3)n2)no1,2,140.1187357417761
compound_2168,CC(=O)Nc1ccc(NC(=O)c2ccccc2Br)cc1,227,129.72236379044605
compound_0093,COc1cccc(C(=O)NCCc2c[nH]c3cc(OC)ccc23)c1,142,179.94530045586944
compound_0294,COc1ccc(OC)c2sc(N(Cc3cccnc3)C(C)=O)nc12,1464,138.13773784046575
compound_1449,O=C(Cn1nnc2sc3c(c2c1=O)CCCC3)N1CCCCC1,1463,116.38794348140846
compound_2564,COc1ccc(C(=O)Nc2cccc(C(N)=O)c2)cc1,1462,133.3135274414705
compound_0785,COc1cc(C(=O)NC2CCCCC2)ccc1OC(F)F,1461,134.08743694831367
compound_2340,Cc1sc2nc(C)n(Cc3c(F)cccc3F)c(=O)c2c1C,1460,83.45410390955546
compound_0053,O=C(Nc1ccccc1)N1CCN(c2ncnc3sccc23)CC1,1459,152.36800755957188
compound_1497,CCC(C(=O)Nc1ccccc1C(N)=O)c1ccccc1,1458,115.22616424644046
compound_2084,Nn1c(Cc2ccccc2)nnc1Cc1ccccc1,1457,49.80903053382003
compound_1268,CC(C)NC(=O)c1cc2cc3ccc(Cl)cc3nc2o1,1456,97.33702919229145
compound_1427,COc1ccc(NC(=O)c2cc3nc(C)cc(C)n3n2)cc1OC,1455,138.28326071523585
compound_0121,Cc1cc(NC(=O)C2CC(=O)N(c3ccc(C)c(Cl)c3)C2)no1,162,125.34388302027455
compound_2383,Cc1ccc(NC(=O)Cc2noc3ccccc23)cc1,1454,129.6657101413951
compound_0561,CC(C)N(C(=O)CSc1nnnn1C1CCCCC1)C(C)C,16,102.80375767544156
compound_0889,O=C1CC(c2cccc(C(F)(F)F)c2)c2cc3c(cc2N1)OCCO3,226,52.96468958345644
compound_0346,O=C(COC(=O)c1ccc(O)cc1)c1ccc(F)c(F)c1,1453,113.67563282882544
compound_0615,COc1ccc(NC(C)=O)cc1NC(=O)COc1ccc(Cl)cc1,1452,185.6450798737993
compound_0666,COc1ccc(N(CC(=O)N2CCC(C)CC2)S(C)(=O)=O)cc1,224,129.86877594306182
compound_2748,O=C1CC(c2cccc(Cl)c2)c2cc3c(cc2N1)OCCO3,226,47.45503642425207
compound_1123,CN1CC(C(=O)Nc2cccc(C(=O)c3ccccc3)c2)CC1=O,1451,116.72541871139255
compound_0883,CC1CCN(C(=O)c2ccc(NC(=O)c3ccc(=O)[nH]c3)cc2)CC1,1450,148.47120588064485
compound_2212,O=C(CSc1nncs1)N1CCN(c2ccccc2)CC1,1449,126.83831788388554
compound_2236,O=C1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)CC1,1448,71.99597717337144
compound_0403,CCc1c(C)sc(NC(=O)c2ccncc2)c1C(=O)OC,221,116.78942710326452
compound_0293,CCOC(=O)c1cc2sccc2n1CC(=O)C(C)(C)C,1447,99.26936498228983
compound_0896,CC(C)NC(=O)Cn1cnc2c(cnn2-c2ccc(F)cc2)c1=O,127,136.93505537768542
compound_0016,CCOC(=O)c1ccc(NC(=O)C23CCC(C)(C(=O)O2)C3(C)C)cc1,1446,94.27490246506524
compound_0590,Cc1c(NC(=O)Nc2ccc(F)cc2)c(=O)n(-c2ccccc2)n1C,25,132.25942465142478
compound_2091,Cc1ccc(-c2nc(C)sc2CC(=O)Nc2nnc(C)s2)cc1,1445,130.78882515971145
compound_1311,CC(Oc1ccc(F)cc1Cl)C(=O)Nc1ccc(C(N)=O)cc1,151,161.04506313106214
compound_2943,CC(C)C(=O)NCC1(C)CC(NC(=O)C(C)C)CC(C)(C)C1,1444,53.97517212125329
compound_2186,O=C(COc1ccc(Cl)cc1)Nc1ccc2c(c1)OCCO2,40,162.23824476435678
compound_2653,Cc1cc(=O)[nH]c(SC(C)C(=O)Nc2ccc(Cl)cc2)n1,29,126.44572083028042
compound_2923,Cc1nnc(SCC(=O)NC(C)(C)C)n1Cc1ccccc1,217,140.92538535267127
compound_1059,COc1ccc(OC)c(NC(=O)CSc2nc(C)cc(C)n2)c1,65,164.6126238058269
compound_2346,CCOc1ccc(N2Cc3ccc(OC)c(OC)c3C2=O)cc1,181,47.91443271010645
compound_1230,CCOC(=O)NC(C)(C)COC(=O)Nc1cccc(C)c1,1443,92.66657187104117
compound_0635,Cc1cc(C)nc(-n2ncc3c2CC(C)(C)CC3=O)n1,1442,37.1804405625822
compound_0348,CCc1ccccc1N1CC23C=CC(O2)C(C(=O)OC)C3C1=O,1441,27.645921225914748
compound_2178,N#Cc1nc(-c2ccc(F)cc2)oc1N1CCCCC1,1440,78.41217221782605
compound_1790,COc1ccccc1OCC(=O)Nc1sc(C)c(C)c1C(N)=O,54,144.76569935021803
compound_2302,Cc1nnsc1C(=O)NCc1cc(F)cc2c1OCOC2,1439,104.39248578145553
compound_0310,Cc1cc(C(F)(F)F)nn1C(C)C(=O)Nc1cnn(C)c1C(N)=O,1438,91.69154442372857
compound_0488,CSc1nnc(CCC(=O)Nc2cc(Cl)ccc2Cl)o1,1437,121.44199442614273
compound_1659,Cc1ccc(-n2nnnc2SCC(=O)N(C)c2ccccc2)cc1,1436,154.1204776549062
