,Unnamed: 0,id,standard_smiles,mol,rule_of_five,rule_of_ghose,rule_of_veber,rule_of_reos,alerts_BMS,alerts_PAINS,alerts_SureChEMBL,alerts_Chelator,alerts_AlphaScreen-Hitters,alerts_Frequent-Hitter,filters_NIBR,filter_complexity,filter_bredt,filter_molecular_graph,cluster,smiles
1608,2458,compound_2634,CS(=O)(=O)N(CC(=O)Nc1ccccc1F)c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff068f0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,465,CS(=O)(=O)N(CC(=O)Nc1ccccc1F)c1ccc(F)cc1
1609,2459,compound_0852,O=C(Cn1nnc(-c2ccc(Cl)cc2)n1)Nc1ccc(F)cc1F,<rdkit.Chem.rdchem.Mol object at 0x7352cff06960>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,117,O=C(Cn1nnc(-c2ccc(Cl)cc2)n1)Nc1ccc(F)cc1F
1610,2464,compound_1148,COC(=O)c1ccc(C)c(NC(=O)COc2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06b90>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,464,COC(=O)c1ccc(C)c(NC(=O)COc2ccccc2)c1
1611,2465,compound_2090,CCOC(=O)N1CCN(S(=O)(=O)c2cc(F)ccc2OC)CC1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06c00>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,463,CCOC(=O)N1CCN(S(=O)(=O)c2cc(F)ccc2OC)CC1
1612,2466,compound_1788,O=C(CSc1nc2sccc2c(=O)[nH]1)Nc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06c70>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,462,O=C(CSc1nc2sccc2c(=O)[nH]1)Nc1ccccc1
1613,2467,compound_1276,c1ccc(-c2nnc(-c3ccccn3)c(-c3ccccn3)n2)nc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06ce0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,461,c1ccc(-c2nnc(-c3ccccn3)c(-c3ccccn3)n2)nc1
1614,2469,compound_0433,COc1ccc(NC(=O)Cn2cc(C(=O)C3CC3)c3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06dc0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,460,COc1ccc(NC(=O)Cn2cc(C(=O)C3CC3)c3ccccc32)cc1
1615,2470,compound_2104,CC(=O)c1ccc(Oc2c(C#N)cccc2C#N)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06e30>,True,True,True,True,True,True,True,True,True,True,False,True,True,True,116,CC(=O)c1ccc(Oc2c(C#N)cccc2C#N)cc1
1616,2471,compound_1814,CCN(CC)C(=O)CSc1nnc(-c2ccccc2C)n1C,<rdkit.Chem.rdchem.Mol object at 0x7352cff06ea0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,459,CCN(CC)C(=O)CSc1nnc(-c2ccccc2C)n1C
1617,2472,compound_2786,CCOc1ccc(C(=O)n2cnc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06f10>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,458,CCOc1ccc(C(=O)n2cnc3ccccc32)cc1
1618,2473,compound_0011,CC(=O)OCCn1c(=O)c2ccccc2c2ccccc2c1=O,<rdkit.Chem.rdchem.Mol object at 0x7352cff06f80>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,457,CC(=O)OCCn1c(=O)c2ccccc2c2ccccc2c1=O
1619,2474,compound_1265,CCN(C(=O)Cn1nnc(-c2ccccc2)n1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff06ff0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,115,CCN(C(=O)Cn1nnc(-c2ccccc2)n1)c1ccccc1
