id,standard_smiles,syba_score,mce18
compound_1731,CC(=O)Nc1ccc(C(=O)CC2(O)C(=O)N(C)c3ccccc32)cc1,108.50137853986982,81.32173913043479
compound_2868,O=C(c1cn(-c2ccccc2)nc1-c1ccccc1)N1CCCC1,117.8593862138363,81.27777777777777
compound_0458,CC(C)OC(=O)c1c(NC(=O)c2cnccn2)sc2c1CCCC2,141.25915485111105,55.01388888888889
compound_2209,CC(C)CN1C(=O)C(NC(=O)c2ccco2)(C(F)(F)F)N=C1O,61.469362857341565,55.07093821510298
compound_0288,Cc1nn(Cc2ccc(C(=O)N3CCCCCC3)o2)c(C)c1Cl,132.59887046567215,56.79933110367893
compound_2837,O=C(Cn1c(-c2cncs2)nc2ccccc21)Nc1ccccc1,119.23495161685328,76.0
compound_2918,Cc1cc(C)c2c(N)c(C(O)c3ccccc3)sc2n1,60.97056246421507,68.0
compound_1879,CCCN1C(=O)c2cccc3c(S(=O)(=O)N(C)C)ccc1c23,82.16077599311608,60.0
compound_2757,CC(C)NC(=O)NC1CCN2C(=O)C(Cc3ccccc3)NC(=O)C12,43.60385704821746,76.8
compound_1489,CCn1c(=O)c2c(nc3n2CCCN3c2ccccc2)n(C)c1=O,95.71824707490728,92.06521739130434
compound_0334,CC(Sc1nnc(-c2ccco2)o1)C(=O)NC1CCCC1,120.79047013253567,64.76190476190476
compound_2684,CC(=O)c1ccc(NC(=O)C2Cc3ccccc3C(=O)O2)cc1,111.1846432575707,70.53416149068323
compound_2859,Cc1ccccc1OC(C)c1nc(-c2ccncc2)no1,106.98547476781552,60.0
compound_2809,Fc1ccc(-c2csc(Cc3nnc4n3CCCCC4)n2)cc1,133.9260810034314,82.10586011342156
compound_2944,COc1cccc(OC)c1-c1nn2c(-c3ccccn3)nnc2s1,70.39422318690481,80.0
compound_0060,CC1Oc2ccccc2N(CC(=O)Nc2ccccc2F)C1=O,112.71760788750592,69.25652173913043
compound_1129,CC(C)(C)NC(=O)C1Cc2ccccc2CN1C(=O)c1ccsc1,95.20348762843751,79.47115384615384
compound_0696,CN1C(=O)COc2ccc(-c3n[nH]c(=O)c4ccccc34)cc21,55.89173430036808,85.63386727688787
compound_2079,COc1ccc(S(=O)(=O)NC2CC2)cc1C(=O)N1CCOCC1,131.22842220766475,61.14555765595463
compound_2952,CS(=O)(=O)N1CCN(C(=O)c2cc3ccccc3oc2=O)CC1,122.40394162986388,61.95652173913044
compound_2463,O=C(CN1C(=O)COc2ccccc21)N1CCc2ccccc2C1,109.49722733801056,85.27777777777779
compound_0969,CN(C(=O)c1ccc(C#N)cc1)c1nnc(C2CCOC2)s1,71.33277737812607,68.36363636363636
compound_0550,COc1cc(C2C(C(N)=O)C(C)=Nc3nnnn32)ccc1OC(C)C,82.64328132219029,78.11478260869565
compound_0150,O=C(CSc1ncnc2c1cnn2-c1ccccc1)NC1CC1,147.39893191305305,79.96521739130434
compound_2914,Cc1nc2cc(NC(=O)c3cccc(S(C)(=O)=O)c3)ccc2s1,156.54108784553884,57.0
compound_2075,O=C(NC1CC1)c1ccc(-c2cnn(-c3ccccc3)c2)nc1,107.2542419082082,80.24844720496894
compound_0013,Cc1ccc(-c2nn(CCC#N)cc2C(=O)N2CCCCC2)cc1C,100.93145518828663,55.689655172413794
compound_1044,COc1ccc(C)cc1NC(=O)c1nc2nc(C)cc(C(F)F)n2n1,135.5029622672383,57.0
compound_2107,O=C(NCC1CCCO1)NC12CC3CC(CC(C3)C1)C2,62.20628802895028,134.4516129032258
compound_0577,COc1ccc(O)c(C(=O)c2cnc3nc(C(F)(F)F)nn3c2)c1,100.97181772402593,60.0
compound_0171,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCc2ccccc2C1,131.97194682685728,91.05533596837944
compound_0041,Cc1ccc(OCc2nc(C#N)c(N3CC(C)OC(C)C3)o2)cc1,99.87717687283175,71.92307692307692
compound_0029,COc1ccccc1-c1nn(-c2cc(C(F)(F)F)ccn2)c(=O)o1,74.36363324843624,57.0
compound_0145,Cc1nnc(SCC(=O)N2CCC(C)CC2)n1C1CCCCC1,119.98386321455358,56.39270687237027
compound_1053,O=C(Nc1cc(C(=O)N2CCCC2)ccc1N1CCCC1)C1CC1,137.11350973373993,91.61111111111111
compound_0000,O=C(c1ccco1)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,87.62438802646295,93.86666666666666
compound_1537,COc1ccc(C2NC(=O)NC(C)=C2C(=O)OC2CCCC2)cc1,96.17644433309034,73.88461538461537
compound_2599,Cc1onc(-c2ccccc2)c1C(=O)Nc1cccc2cccnc12,143.6870504018711,80.0
compound_0004,Cc1ccc(C2=Nc3nnnn3C(c3ccccc3)C2)cc1,70.0898090808372,97.93636363636364
compound_0213,CC1(C)C2CCC1(CS(=O)(=O)N1CCc3ccccc31)C(=O)C2,60.5173858967151,141.2263868065967
compound_0846,CCOc1ccc(N2CC(NC(=O)Nc3ccccn3)CC2=O)cc1,156.10946434889078,67.00521739130434
compound_1442,Cc1ccc(Cn2c(N(C)C)nc3c2c(=O)n(C)c(=O)n3C)cc1,83.59475515212544,60.0
compound_0835,CCOC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,37.54570605575135,65.23636363636363
compound_0768,N#Cc1cccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)c1,107.77442191396392,57.0
compound_2077,Cn1c(=O)c2c(ncn2Cc2ccc(C(C)(C)C)cc2)n(C)c1=O,116.37388556130736,63.0
compound_2204,CC12CCC(C(=O)NC3CCCCC3)(OC1=O)C2(C)C,41.74436891065957,96.32
compound_2418,O=C(Cc1c[nH]c2ccccc12)Nc1ccc2c(c1)CCC2,169.4390048875328,80.28063241106719
compound_2571,Cn1nccc1CNC(=O)Cn1nc(C(F)(F)F)cc1C1CC1,114.59520675979424,60.30434782608695
compound_1696,COC(=O)C(C)Oc1cc2oc(=O)c3c(c2cc1Cl)CCC3,111.71911403188898,75.5702479338843
compound_1593,Cc1ccc(C=c2sc3nnc(-c4ccco4)n3c2=O)cc1,89.78468138331004,80.0
compound_0512,c1csc(-c2nnc3sc(-c4ccc5c(c4)OCCO5)nn23)c1,99.21595275457814,118.5294117647059
compound_2705,O=C(CSc1nc(=O)[nH]c2c1CCC2)N1CCCc2ccccc21,139.26819017153477,87.2
compound_2006,CCCCN1CC2=C(C1=O)C(c1ccc(F)cc1)NC(=O)N2,47.74418472065774,70.24793388429752
compound_1488,Cc1cc(NC(=O)c2cc(C3CC3)on2)n(-c2ccccc2)n1,126.76348095393848,84.22360248447205
compound_0746,Cn1c(=O)oc2cc(S(=O)(=O)N3CCCCC3)c(Cl)cc21,82.38951734374832,63.19047619047619
compound_2681,CCc1ccc(C(=O)CC2(O)C(=O)N(CC)c3ccccc32)cc1,106.77386617766808,77.21794871794872
compound_0569,Cn1c(=O)c2c(ncn2Cc2ccc(F)cc2Cl)n(C)c1=O,100.83071001262188,57.0
compound_1637,Cc1cc2ccccn2c1C(=O)c1cccc(S(=O)(=O)N(C)C)c1,106.22299083806084,60.0
compound_2351,CCC(c1ccccc1)c1nn2c(-c3cccnc3)nnc2s1,91.1856192242598,95.0
compound_0372,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cnccn1,156.18439068141262,55.47368421052632
compound_0713,CN(C(=O)c1ccc(F)cc1)c1ccccc1C(=O)N1CCOCC1,118.87925325376006,55.306666666666665
compound_1704,CSc1nnc(-c2cnn(-c3ccccc3)c2-n2cccc2)n1C,68.99114944620202,80.0
compound_2171,CC1(C)CC2CC(C)(CN2C(=O)c2ccc(F)cc2)C1,69.62635154006392,88.81481481481481
compound_0529,Cc1nnc(SCC(=O)NCC2CCCO2)n1Cc1ccccc1,162.81947846207137,63.4
compound_1586,OC1CCN(c2cc(-c3ccncc3)nc(-c3ccncc3)n2)CC1,80.19882389179155,82.01666666666667
compound_2505,CC1=C(C(=O)Nc2ccccc2C)C(c2cccs2)NC(=O)N1,94.85081245291684,69.25652173913043
compound_0601,O=C(c1ccc2c(c1)ncn2-c1ccc(F)cc1F)N1CCCCC1,111.64190221950612,90.65
compound_1144,O=C(c1ccccc1Cl)N1CCC(O)(c2cccnc2)CC1,95.5317060700513,56.97107438016529
compound_1776,Cc1cc2ccccc2n1CC(=O)NCc1ccc2c(c1)OCO2,163.7426383691071,81.37681159420289
